127.0.0.1 - - [12/Oct/2022:21:13:55 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:13:56 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:13:57 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:26:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:27:17 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:37:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:42:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:57:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:57:49 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:58:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:58:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:58:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:58:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:58:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [12/Oct/2022:21:59:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
